ano_mes,tributo,rotulo,tributo_pai,nivel,tipo,valor,valor_constante
1994-02,I.R.R.F-OUTROS RENDIMENTOS,I.R.R.F-OUTROS RENDIMENTOS,I.RENDA-RETIDO NA FONTE,3,detalhe,56.61681071503184,2114.599755813701
1994-02,I.R.R.F-RENDIMENTOS DE CAPITAL,I.R.R.F-RENDIMENTOS DE CAPITAL,I.RENDA-RETIDO NA FONTE,3,detalhe,329.58498079784994,12309.777098234857
1994-02,I.R.R.F-RENDIMENTOS DE RESIDENTES NO EXTERIOR,I.R.R.F-RENDIMENTOS DE RESIDENTES NO EXTERIOR,I.RENDA-RETIDO NA FONTE,3,detalhe,74.6639946146287,2788.6499219259417
1994-02,I.R.R.F-RENDIMENTOS DO TRABALHO,I.R.R.F-RENDIMENTOS DO TRABALHO,I.RENDA-RETIDO NA FONTE,3,detalhe,530.3824696879425,19809.428096101125
1994-02,I.RENDA-PESSOA FÍSICA,I.RENDA-PESSOA FÍSICA,IMPOSTO SOBRE A RENDA-TOTAL,2,detalhe,62.24075807870173,2324.650402816465
1994-02,I.RENDA-PESSOA JURÍDICA,I.RENDA-PESSOA JURÍDICA,IMPOSTO SOBRE A RENDA-TOTAL,2,detalhe,299.10914404062754,11171.525117044921
1994-02,I.RENDA-PESSOA JURÍDICA · DEMAIS EMPRESAS,I.RENDA-PESSOA JURÍDICA · DEMAIS EMPRESAS,I.RENDA-PESSOA JURÍDICA,3,detalhe,220.6176154256842,8239.919377576167
1994-02,I.RENDA-PESSOA JURÍDICA · ENTIDADES FINANCEIRAS,I.RENDA-PESSOA JURÍDICA · ENTIDADES FINANCEIRAS,I.RENDA-PESSOA JURÍDICA,3,detalhe,78.49152861494336,2931.6057394687537
1994-02,I.RENDA-RETIDO NA FONTE,I.RENDA-RETIDO NA FONTE,IMPOSTO SOBRE A RENDA-TOTAL,2,detalhe,991.2482558154529,37022.45487207562
1994-02,IMPOSTO SOBRE A RENDA-TOTAL,Imposto de Renda,,1,componente,1352.5981579347822,50518.63039193701
1994-02,IMPOSTO SOBRE EXPORTAÇÃO,Imposto de Exportação,,1,componente,0.07474523944010708,2.791684361449256
1994-02,IMPOSTO SOBRE IMPORTAÇÃO,Imposto de Importação,,1,componente,132.45253625711536,4947.013038864777
1994-02,IOF - I. S/ OPERAÇÕES FINANCEIRAS,IOF,,1,componente,312.6788353360827,11678.343949427834
1994-02,ITR - I. TERRITORIAL RURAL,ITR,,1,componente,1.173536368021005,43.83079311454146
1994-02,OUTRAS RECEITAS ADMINISTRADAS,Outras receitas administradas,,1,componente,396.18046152219404,14797.073459501025
1994-02,PSS - CONTRIB. DO PLANO DE SEGURIDADE DO SERVIDOR,PSS,,1,componente,0.0,0.0
1994-02,RECEITA PREVIDENCIÁRIA [B],Receita previdenciária,,1,componente,0.0,0.0
1994-02,SUBTOTAL [A],Subtotal administradas (exceto previdenciária),,1,agregado,4252.779166247547,158838.4381405826
1994-02,TOTAL GERAL [E]=[C]+[D],Total geral,,1,agregado,4549.791139684358,169931.635347759
1994-03,ADMINISTRADAS PELA RFB [C]=[A]+[B],Administradas pela RFB,,1,agregado,4334.737161117359,113414.72088296746
1994-03,ADMINISTRADAS POR OUTROS ÓRGÃOS [D],Administradas por outros órgãos,,1,componente,210.2651698464526,5501.409811753872
1994-03,CIDE-COMBUSTÍVEIS,CIDE-Combustíveis,,1,componente,0.0,0.0
1994-03,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,COFINS,,1,componente,625.7170460742643,16371.355746500416
1994-03,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL · DEMAIS EMPRESAS,COFINS · DEMAIS EMPRESAS,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,2,detalhe,625.7170460742643,16371.355746500416
1994-03,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL · ENTIDADES FINANCEIRAS,COFINS · ENTIDADES FINANCEIRAS,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,2,detalhe,0.0,0.0
1994-03,CONTRIBUIÇÃO PARA O FUNDAF,FUNDAF,,1,componente,14.61554325063502,382.403291528852
1994-03,CONTRIBUIÇÃO PARA O PIS/PASEP,PIS/PASEP,,1,componente,435.75585864596763,11401.182411879161
1994-03,CONTRIBUIÇÃO PARA O PIS/PASEP · DEMAIS EMPRESAS,PIS/PASEP · DEMAIS EMPRESAS,CONTRIBUIÇÃO PARA O PIS/PASEP,2,detalhe,435.75585864596763,11401.182411879161
1994-03,CONTRIBUIÇÃO PARA O PIS/PASEP · ENTIDADES FINANCEIRAS,PIS/PASEP · ENTIDADES FINANCEIRAS,CONTRIBUIÇÃO PARA O PIS/PASEP,2,detalhe,0.0,0.0
1994-03,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO,CSLL,,1,componente,281.4212169388673,7363.147425861315
1994-03,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO · DEMAIS EMPRESAS,CSLL · DEMAIS EMPRESAS,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO,2,detalhe,165.3702549388673,4326.77244527607
1994-03,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO · ENTIDADES FINANCEIRAS,CSLL · ENTIDADES FINANCEIRAS,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO,2,detalhe,116.050962,3036.3749805852453
1994-03,I.P.I-AUTOMÓVEIS,I.P.I-AUTOMÓVEIS,I.P.I-TOTAL,2,detalhe,63.63833057459448,1665.0429383162866
1994-03,I.P.I-BEBIDAS,I.P.I-BEBIDAS,I.P.I-TOTAL,2,detalhe,73.90092470087704,1933.5550083924095
1994-03,I.P.I-FUMO,I.P.I-FUMO,I.P.I-TOTAL,2,detalhe,123.5033651606673,3231.3607877885033
1994-03,I.P.I-OUTROS,I.P.I-OUTROS,I.P.I-TOTAL,2,detalhe,446.0032472196887,11669.296641570612
1994-03,I.P.I-TOTAL,IPI,,1,componente,813.8558997213103,21293.84926352856
1994-03,I.P.I-VINCULADO À IMPORTAÇÃO,I.P.I-VINCULADO À IMPORTAÇÃO,I.P.I-TOTAL,2,detalhe,106.81003206548273,2794.593887460748
1994-03,I.R.R.F-OUTROS RENDIMENTOS,I.R.R.F-OUTROS RENDIMENTOS,I.RENDA-RETIDO NA FONTE,3,detalhe,52.75833814006288,1380.3771652124972
1994-03,I.R.R.F-RENDIMENTOS DE CAPITAL,I.R.R.F-RENDIMENTOS DE CAPITAL,I.RENDA-RETIDO NA FONTE,3,detalhe,313.51443475036973,8202.839246850432
1994-03,I.R.R.F-RENDIMENTOS DE RESIDENTES NO EXTERIOR,I.R.R.F-RENDIMENTOS DE RESIDENTES NO EXTERIOR,I.RENDA-RETIDO NA FONTE,3,detalhe,72.64062433866764,1900.5803184640731
1994-03,I.R.R.F-RENDIMENTOS DO TRABALHO,I.R.R.F-RENDIMENTOS DO TRABALHO,I.RENDA-RETIDO NA FONTE,3,detalhe,454.05551795253007,11879.977474962569
